Name,TeamAbbreviation,GamesPlayed,Minutes,PlusMinus,OnOffRtg,OnDefRtg,FirstChancePoints,ThreePtOffReboundedPct,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,Blocks,Blocked2s,Blocked3s,BlockedAtRim,BlockedShortMidRange,BlockedLongMidRange,BlockedCorner3,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,Steals,LostBallSteals,BadPassSteals,DefensiveGoaltends
Reggie Jackson,PHI,302,7473,167,113.81277781463545,112.82459985388856,3336,0.1873536299765808,0.38515901060070673,0.3862559241706161,0.2,44,44,0,26,18,0,0,0,23,0.5227272727272727,193,61,132,0
Immanuel Quickley,TOR,294,7442,701,115.41663868931712,111.09763493026077,3658,0.22517911975435004,0.4444444444444444,0.3481781376518219,0.2918918918918919,39,31,8,17,13,1,3,5,24,0.6153846153846154,216,64,152,0
Kyle Anderson,GSW,308,7432,363,113.77916829618043,110.92147955872811,2313,0.2514450867052023,0.32710280373831774,0.2766884531590414,0.23157894736842105,222,210,12,113,88,9,5,7,139,0.6261261261261262,328,141,187,2
Spencer Dinwiddie,DAL,247,7392,107,115.7752930082177,115.07006197790353,3057,0.21401752190237797,0.3333333333333333,0.30140845070422534,0.21,66,59,7,22,29,8,1,6,35,0.5303030303030303,177,44,133,0
Tyus Jones,PHX,312,7386,-249,113.52474990255944,115.32205595315551,2714,0.22906793048973143,0.39552238805970147,0.3122448979591837,0.2,34,31,3,8,21,2,0,3,16,0.47058823529411764,311,91,220,0
Duncan Robinson,MIA,282,7379,300,113.45526244220831,112.15522551502292,2945,0.2188006482982172,0.3493975903614458,0.3364485981308411,0.076923077,53,46,7,17,27,2,2,5,26,0.49056603773584906,156,51,105,2
Bruce Brown,TOR,284,7370,-172,116.84602099109871,117.10179324894514,2529,0.23770491803278687,0.37545126353790614,0.3566084788029925,0.1774193548387097,148,119,29,40,68,11,8,21,79,0.5337837837837838,281,104,177,1
Myles Turner,IND,251,7326,105,116.1832869818567,115.78702781650402,3378,0.17872968980797638,0.29389312977099236,0.21621621621621623,0.11594202898550725,608,597,11,398,191,8,5,6,351,0.5773026315789473,162,56,106,41
Michael Porter Jr.,DEN,235,7325,1392,122.2617689,113.79263670817542,3578,0.1893362350380849,0.4117647058823529,0.319047619,0.17842323651452283,147,139,8,75,55,9,3,5,85,0.5782312925170068,148,40,108,20
Bogdan Bogdanovic,ATL,250,7317,499,118.56458693627776,115.6300053390283,3509,0.24119241192411925,0.5138121546961326,0.3487544483985765,0.23780487804878048,74,65,9,33,26,6,5,4,38,0.5135135135135135,266,78,188,0
Evan Mobley,CLE,222,7314,680,115.28753666689406,110.74696162774818,2966,0.20187793427230047,0.3785488958990536,0.26579925650557623,0.22321428571428573,343,337,6,219,113,5,0,6,228,0.6647230320699709,187,66,121,17
Anfernee Simons,POR,250,7174,-598,113.76355973191461,118.24670824670824,3906,0.22859744990892533,0.3217391304347826,0.3465045592705167,0.2558139534883721,35,33,2,16,16,1,0,2,19,0.5428571428571428,130,41,89,5
