Name,TeamAbbreviation,GamesPlayed,Minutes,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct
Obi Toppin,IND,307,5176,322,2,156,37,3,2,21,0.08030303,0.1368421052631579,0.003571429
Patty Mills,UTA,230,5150,181,11,31,7,21,4,32,0.028618602091359385,0.055555556,0.016679904686258934
Josh Green,CHA,245,5135,241,0,108,29,6,4,21,0.0861678,0.13688212927756654,0.011235955056179775
Shake Milton,BKN,262,5115,431,7,196,55,6,3,38,0.10074812967581047,0.1391057487579844,0.010067114093959731
Jae Crowder,SAC,200,5113,219,5,63,11,26,9,19,0.058625337,0.12830957230142567,0.024169184
Mitchell Robinson,NYK,193,5058,422,0,201,40,0,0,30,0.18491260349586017,0.18491260349586017,0
Jonathan Kuminga,GSW,232,5042,712,0,357,65,2,0,25,0.1507769844603108,0.19391634980988592,0.003703704
Drew Eubanks,UTA,298,5023,481,1,204,41,0,0,59,0.14697406340057637,0.15235250186706498,0
Will Barton,TOR,183,5005,295,12,117,27,6,2,32,0.0627231,0.10724106324472961,0.006896552
Naji Marshall,DAL,250,4966,463,6,218,49,3,0,32,0.12563956793632747,0.18973020017406442,0.004918033
Cameron Payne,NYK,261,4932,287,5,120,24,9,3,22,0.0604782,0.097560976,0.009966777
Kenrich Williams,OKC,250,4901,177,0,86,15,0,0,9,0.058265582655826556,0.091880342,0
Larry Nance Jr.,ATL,217,4893,250,0,105,22,0,0,31,0.087354409,0.11904761904761904,0
Steven Adams,HOU,189,4882,483,0,195,46,0,0,71,0.17317939609236235,0.17395182872435325,0
Maxi Kleber,DAL,203,4829,193,0,62,11,1,0,37,0.061643836,0.18181818181818182,0.001468429
Garrison Mathews,ATL,268,4772,401,22,63,8,84,23,27,0.10770381451009724,0.26359832635983266,0.073770492
Cam Thomas,BKN,207,4766,725,19,295,65,36,12,51,0.12259259259259259,0.1597184623714131,0.042203986
Moritz Wagner,ORL,271,4704,697,1,342,94,2,0,50,0.16829745596868884,0.24324324324324326,0.003134796
John Konchar,MEM,254,4688,144,0,62,14,2,0,14,0.064,0.12375249500998003,0.004008016
Gabe Vincent,LAL,221,4674,165,0,58,16,10,2,20,0.044884488448844885,0.097315436,0.010881393
Evan Fournier,DET,181,4656,307,25,103,31,22,2,23,0.062972292,0.12576312576312576,0.018867924528301886
Trey Lyles,SAC,248,4653,474,0,234,70,3,1,35,0.1446886446886447,0.271461717,0.003865979
Amir Coffey,LAC,257,4623,328,2,144,33,6,2,28,0.11045655375552282,0.19807427785419532,0.009508716
Cory Joseph,ORL,229,4615,280,24,100,26,1,0,41,0.075882795,0.12391573729863693,0.001908397
Kevin Love,MIA,228,4595,461,9,128,25,27,5,73,0.077655311,0.1693121693121693,0.021774193548387097
Bennedict Mathurin,IND,162,4579,809,25,388,91,10,2,38,0.1783953384132676,0.24265165728580362,0.015822784810126583
Dean Wade,CLE,229,4567,137,1,51,18,4,1,18,0.051935788,0.1705685618729097,0.005263158
